what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1404723749463
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1404723749510
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1404723749511
started,bundle,org.eclipse.emf.common,2.8.0.v20120606-0717,"org.eclipse.emf.common",1404723749511
started,bundle,org.eclipse.emf.ecore,2.8.0.v20120606-0717,"org.eclipse.emf.ecore",1404723749511
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1404723749511
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1404723749550
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1404723749550
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1404723749552
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1404723749552
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1404723749553
os,sysinfo,,,"win32",1404723749619
arch,sysinfo,,,"x86",1404723749619
ws,sysinfo,,,"win32",1404723749619
locale,sysinfo,,,"es_ES",1404723749619
processors,sysinfo,,,"4",1404723749619
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1404723749619
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1404723749619
java.specification.name,sysinfo,,,"Java Platform API Specification",1404723749619
java.specification.vendor,sysinfo,,,"Oracle Corporation",1404723749619
java.specification.version,sysinfo,,,"1.7",1404723749619
java.vendor,sysinfo,,,"Oracle Corporation",1404723749619
java.version,sysinfo,,,"1.7.0_60",1404723749619
java.vm.info,sysinfo,,,"mixed mode",1404723749619
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1404723749619
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1404723749619
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1404723749619
java.vm.specification.version,sysinfo,,,"1.7",1404723749619
java.vm.vendor,sysinfo,,,"Oracle Corporation",1404723749619
java.vm.version,sysinfo,,,"24.60-b09",1404723749619
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1404723749710
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120606-0717,"org.eclipse.emf.ecore.xmi",1404723749982
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1404723751024
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1404723751116
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1404723751118
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1404723751132
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1404723751195
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1404723751196
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1404723751438
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1404723751821
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1404723751842
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1404723752155
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1404723752795
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1404723757124
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1404723757171
started,bundle,org.eclipse.mtj.core.hooks,1.0.0.v201009031435,"org.eclipse.mtj.core.hooks",1404723757675
started,bundle,org.eclipse.mtj.core,1.2.1.v201009031435,"org.eclipse.mtj.core",1404723757782
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1404723757923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404723759348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404723763153
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404723775121
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404723775203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1404723776673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1404723850681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404723928810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1404723930300
